id	name	publications	group	initials
1	Jiyeon Park	5	1	JP
2	Kelly Lancaster	5	1	KL
3	Tom J. Edwards	8	1	TJE
4	Robert J. Whitaker	0	1	RJW
5	Robert G. Fuller	0	1	RGF
6	Dyan L. McBride	5	1	DLM
7	E. Martin	8	1	EM
8	Kerriann Alvarado	3	1	KA
9	S. Reid	11	1	SR
10	Michael Zeilik	11	1	MZ
11	Kristan Corwin	4	1	KC
12	Stephen R. Stonebraker	4	1	SRS
13	Idaykis Rodriguez	6	1	IR
14	Timothy Stelzer	7	1	TS
15	Robert Beichner	22	1	RB
16	Paul van Kampen	6	1	PvK
17	Guo-Li Chiou	11	1	GC
18	Amnon Hazan	1	1	AH
19	Colin Thomson	2	1	CT
20	P. C. Peters	0	1	PCP
21	Wayne M. Schlingman	3	1	WMS
22	Timothy Nokes	1	1	TN
23	Sam Cohen	2	1	SC
24	Melissa Dancy	9	1	MD
25	Jack Lochhead	0	1	JL
26	Tevian Dray	3	1	TD
27	Manjula Devi Sharma	13	1	MDS
28	Asko Maskynen	3	1	AM
29	Eoin O'Leary	4	1	EO
30	Marian Tzolov	3	1	MT
31	David Wells	2	1	DW
32	Roger Fearick	3	1	RF
33	O. Roger Anderson	1	1	ORA
34	Donald Boys	2	1	DB
35	Lester C. Loschky	4	1	LCL
36	Chandra Turpen	9	1	CT
37	Mary A. Moriarty	2	1	MAM
38	Maria Ruibal Villasenor	9	1	MRV
39	Andrew E. Pawl	8	1	AEP
40	Eric Potter	2	1	EP
41	P. Dail	7	1	PD
42	Raluca E. Teodorescu	10	1	RET
43	Bradley S. Ambrose	5	1	BSA
44	J. Christopher Moore	1	1	JCM
45	Donna Messina	2	1	DM
46	Tae-Sun Kim	1	1	TK
47	Renate C. Lippert	3	1	RCL
48	Sam B. McKagan	13	1	SBM
49	Donald Woodhouse	3	1	DW
50	Joseph Llama	7	1	JL
51	Evan A. Chase	1	1	EAC
52	Walter Benenson	3	1	WB
53	Clarisa Bercovich Guelman	2	1	CBG
54	Jeffrey T. Morgan	3	1	JTM
55	David Jonassen	3	1	DJ
56	Ernst Breitenberger	0	1	EB
57	Teresita Marin-Suarez	1	1	TM
58	Mila R. Kryjevskaia	2	1	MRK
59	Claudio Fazio	2	1	CF
60	Vanes Mesic	1	1	VM
61	Marina Milner-Bolotin	3	1	MM
62	Stephen D. Baker	7	1	SDB
63	S. Toernkvist	2	1	ST
64	B. N. Meera	1	1	BNM
65	Jing Han	8	1	JH
66	Bruce D. Sinclair	7	1	BDS
67	Mikael Winberg	1	1	MW
68	Sangho Song	5	1	SS
69	Chris Stewart	9	1	CS
70	Mindi Kvaal Anderson	1	1	MKA
71	David S. Abbott	3	1	DSA
72	Mayo Miller	3	1	MM
73	Mark L. McKinnon	1	1	MLM
74	Archie Paulson	2	1	AP
75	Edward Grillo	1	1	EG
76	Anna Karelina	9	1	AK
77	Lauren Barth-Cohen	0	1	LB
78	Katherine Garrett	1	1	KG
79	Kay Schulze	5	1	KS
80	Shabnam Siddiqui	1	1	SS
81	Neville W. Reay	7	1	NWR
82	Matthew J. Cochran	1	1	MJC
83	Benedetto Di Paola	2	1	BDP
84	Janet J. Rivera	3	1	JJR
85	Heidi Fencl	1	1	HF
86	Kendra Rand	1	1	KR
87	Frances J. Poodry	2	1	FJP
88	Andy Johnson	2	1	AJ
89	Stacey Davis	1	1	SD
90	Maria Ruiz-Primo	4	1	MR
91	Joseph Beuckman	4	1	JB
92	David E. Meltzer	7	1	DEM
93	Jeffrey J. Steinert	2	1	JJS
94	Kimberly Shaw	0	1	KS
95	Gina Brissenden	3	1	GB
96	Yuhfen Lin	4	1	YL
